Reference,Value,Datasheet,Footprint,Qty,DNP,note
BZ1,Buzzer,~,Buzzer_Beeper:Buzzer_12x9.5RM7.6,1,,12v
"C1,C2",22pf,~,Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm,2,,
"C3,C6",10uf,~,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,2,,
"C4,C5",100uf,~,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,2,,
"D1,D4",1N4007,http://www.vishay.com/docs/88503/1n4001.pdf,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,2,,
"D2,D3",1N5822,http://www.vishay.com/docs/88526/1n5820.pdf,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,2,,
"D5,D6,D7",LED,,LED_THT:LED_D3.0mm,3,,
J1,Barrel_Jack_Switch,~,Connector_BarrelJack:BarrelJack_Horizontal,1,,
J2,SD CARD,~,Charleslabs_Parts:SD_Card_Module,1,,
"J4,J6",CLOSE_LIMIT,~,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,2PIN,
J5,OPEN_LIMIT,~,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,2PIN,
J7,ISP,~,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,1,IDC10,
J8,Lock Motor,~,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,2PIN,
J9,Conn_01x12_Pin,~,CrumpPrints.pretty-master:Tiny_RTC_DS1307,1,,
K1,G5LE-1,http://www.omron.com/ecb/products/pdf/en-g5le.pdf,Relay_THT:Relay_SPDT_Omron-G5LE-1,1,,
MOD1,88AB2,,Connector_JST:JST_XH_S7B-XH-A-1_1x07_P2.50mm_Horizontal,1,,
"Q1,Q2",BC337,https://diotec.com/tl_files/diotec/files/pdf/datasheets/bc337.pdf,Package_TO_SOT_THT:TO-92_Inline,2,,
R1,10k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,,
"R2,R3,R4,R5",1k,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,,
R6,330,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,,
R7,100,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,,
"R10,R11",0,~,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,,
SW1,SW_Push,~,Button_Switch_THT:SW_PUSH_6mm,1,,
U1,ATmega328-P,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,Package_DIP:DIP-28_W7.62mm,1,,
U2,PC817,http://www.soselectronic.cz/a_info/resource/d/pc817.pdf,Package_DIP:DIP-4_W7.62mm,1,,
U3,L7805,http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf,Package_TO_SOT_THT:TO-220-3_Vertical,1,,
U4,LD1117S33TR_SOT223,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf,Package_TO_SOT_THT:TO-220-3_Vertical,1,,
U5,RC522,,Connector_JST:JST_XH_S8B-XH-A-1_1x08_P2.50mm_Horizontal,1,,
Y1,Crystal,~,Crystal:Crystal_HC49-4H_Vertical  16 MHZ,1,16MHZ,
